Date,Type,Price,Profit,run_date
2022-05-10,Buy,9.770000457763672,,2026-05-22
2022-08-04,Sell,7.75,-2.020000457763672,2026-05-22
2022-08-19,Buy,0.0006999999750405,,2026-05-22
2022-09-09,Sell,0.0015000000130385,0.000800000037998,2026-05-22
2022-10-07,Buy,6.25,,2026-05-22
2022-11-21,Sell,11.0,4.75,2026-05-22
2022-12-19,Buy,8.149999618530273,,2026-05-22
2021-04-09,Buy,8.350000381469727,,2026-05-22
2021-04-19,Sell,11.199999809265137,2.84999942779541,2026-05-22
2021-08-05,Buy,12.75,,2026-05-22
2021-09-14,Sell,15.54640007019043,2.7964000701904297,2026-05-22
2021-10-07,Buy,16.0,,2026-05-22
2021-12-30,Sell,15.25,-0.75,2026-05-22
2022-01-20,Buy,14.98989963531494,,2026-05-22
2022-04-20,Sell,11.0,-3.9898996353149396,2026-05-22
2022-05-10,Buy,9.770000457763672,,2026-05-22
2022-08-04,Sell,7.75,-2.020000457763672,2026-05-22
2022-08-19,Buy,0.0006999999750405,,2026-05-22
2022-09-09,Sell,0.0015000000130385,0.000800000037998,2026-05-22
2022-10-07,Buy,6.25,,2026-05-22
2022-11-21,Sell,11.0,4.75,2026-05-22
2022-12-19,Buy,8.149999618530273,,2026-05-22
2021-04-09,Buy,8.350000381469727,,2026-05-22
2021-04-19,Sell,11.199999809265137,2.84999942779541,2026-05-22
2021-08-05,Buy,12.75,,2026-05-22
2021-09-14,Sell,15.54640007019043,2.7964000701904297,2026-05-22
2021-10-07,Buy,16.0,,2026-05-22
2021-12-30,Sell,15.25,-0.75,2026-05-22
2022-01-20,Buy,14.98989963531494,,2026-05-22
2022-04-20,Sell,11.0,-3.9898996353149396,2026-05-22
2022-05-10,Buy,9.770000457763672,,2026-05-22
2022-08-04,Sell,7.75,-2.020000457763672,2026-05-22
2022-08-19,Buy,0.0006999999750405,,2026-05-22
2022-09-09,Sell,0.0015000000130385,0.000800000037998,2026-05-22
2022-10-07,Buy,6.25,,2026-05-22
2022-11-21,Sell,11.0,4.75,2026-05-22
2022-12-19,Buy,8.149999618530273,,2026-05-22
